path,sentence,language,clip,duration[ms],duration_seconds,cumulative_duration
clips/common_voice_en_38352658.mp3,It features a real-time encoding and decoding algorithm and hardware compression support.,English,common_voice_en_38352658.mp3,10656,10.656,10.656
clips/common_voice_en_38083406.mp3,"He attended schools in Washington, New Hampshire, from elementary through the Tubbs Union Academy.",English,common_voice_en_38083406.mp3,10548,10.548,21.204
clips/common_voice_en_38690188.mp3,"These groups emphasized direct action, informal affinity groups and expropriation for financing anarchist activity.",English,common_voice_en_38690188.mp3,10548,10.548,31.752000000000002
clips/common_voice_en_38690815.mp3,"His son, the third Viscount, was Member of Parliament for Saint Albans and Hertfordshire.",English,common_voice_en_38690815.mp3,10548,10.548,42.300000000000004
clips/common_voice_en_38718914.mp3,York says immanent theology distinguishes modern Pagan movements from New Age movements.,English,common_voice_en_38718914.mp3,10476,10.476,52.776
clips/common_voice_en_38991900.mp3,"At room temperature, zirconium hydrides quickly oxidize in air, and even in high vacuum.",English,common_voice_en_38991900.mp3,10476,10.476,63.252
clips/common_voice_en_38796410.mp3,"An acclaimed scholar of French literature, Bowie wrote several books on Marcel Proust.",English,common_voice_en_38796410.mp3,10476,10.476,73.72800000000001
clips/common_voice_en_38503147.mp3,"More broadly, any taxon that is not paraphyletic or monophyletic can be called polyphyletic.",English,common_voice_en_38503147.mp3,10476,10.476,84.20400000000001
clips/common_voice_en_38182469.mp3,"Training modules in industries, institutions and heritage sectors provide major field level exposure.",English,common_voice_en_38182469.mp3,10476,10.476,94.68
clips/common_voice_en_38492354.mp3,This collection comprises mostly architectural and sculptural images both ecclesiastical and secular.,English,common_voice_en_38492354.mp3,10476,10.476,105.156
clips/common_voice_en_39194085.mp3,"A recurving sandspit peninsula, Presque Isle, connects to the mainland in western Millcreek.",English,common_voice_en_39194085.mp3,10476,10.476,115.632
clips/common_voice_en_38249825.mp3,"Electroman includes several singles, such as ""Cinema"", ""Electroman"", ""Spaceship"" and ""Control"".",English,common_voice_en_38249825.mp3,10440,10.44,126.072
clips/common_voice_en_38156277.mp3,"During World War One, he rose from private to captain and company commander.",English,common_voice_en_38156277.mp3,10404,10.404,136.476
clips/common_voice_en_39571744.mp3,"Magical stars sparkle in the tavern as the ""Mark Twain"" Riverboat approaches.",English,common_voice_en_39571744.mp3,10404,10.404,146.88
clips/common_voice_en_38718893.mp3,Rosenstock was invited by Mourinho to attend a match at Stamford Bridge.,English,common_voice_en_38718893.mp3,10404,10.404,157.284
clips/common_voice_en_39567635.mp3,It revolves around the theme of humans emotions and their similarities to a volcano.,English,common_voice_en_39567635.mp3,10368,10.368,167.652
clips/common_voice_en_38251797.mp3,It serves the western end of the John Hancock Student Village at Boston University.,English,common_voice_en_38251797.mp3,10368,10.368,178.01999999999998
clips/common_voice_en_38027695.mp3,Students of Sweelinck were seen as musicians against whom other organists were measured.,English,common_voice_en_38027695.mp3,10368,10.368,188.38799999999998
clips/common_voice_en_38522005.mp3,Transgenic mice that overexpress Klotho live longer than wild-type mice.,English,common_voice_en_38522005.mp3,10332,10.332,198.71999999999997
clips/common_voice_en_38068439.mp3,He was employed by Hoover as a financial controller before entering parliament.,English,common_voice_en_38068439.mp3,10332,10.332,209.05199999999996
clips/common_voice_en_38357288.mp3,A change in open carry rules positively affected biathlon and reenactment societies.,English,common_voice_en_38357288.mp3,10296,10.296,219.34799999999996
clips/common_voice_en_38084778.mp3,She therefore publicly declared that Sima Wei had falsely issued the edict.,English,common_voice_en_38084778.mp3,10296,10.296,229.64399999999995
clips/common_voice_en_38547431.mp3,"After Otto inherited the whole Landgraviate, he resided alternately in Kassel and Marburg.",English,common_voice_en_38547431.mp3,10260,10.26,239.90399999999994
clips/common_voice_en_38233254.mp3,He composed vocal as well as vocal-instrumental music to his own lyrics.,English,common_voice_en_38233254.mp3,10260,10.26,250.16399999999993
clips/common_voice_en_38498704.mp3,Johnston's highschool friend and fellow musician Orpheos Dejournette joined the group shortly after.,English,common_voice_en_38498704.mp3,10260,10.26,260.4239999999999
clips/common_voice_en_38690740.mp3,"Honda's production lines of these models were in Spain, Belgium and Sweden.",English,common_voice_en_38690740.mp3,10188,10.188,270.6119999999999
clips/common_voice_en_38116286.mp3,Many natural isothiocyanates from plants are produced by enzymatic conversion of metabolites called glucosinolates.,English,common_voice_en_38116286.mp3,10188,10.188,280.7999999999999
clips/common_voice_en_38675778.mp3,"These products are used in utility, industrial, commercial, institutional, and residential applications.",English,common_voice_en_38675778.mp3,10188,10.188,290.9879999999999
clips/common_voice_en_38198296.mp3,The current Chief Executive Officer and President of Cineplex Entertainment is Ellis Jacob.,English,common_voice_en_38198296.mp3,10188,10.188,301.1759999999999
clips/common_voice_en_38083464.mp3,"During production of this story, Madame Tussauds in London debuted the ""Doctor Who Exhibition"".",English,common_voice_en_38083464.mp3,10188,10.188,311.36399999999986
clips/common_voice_en_38851729.mp3,"Bostaph attended Newark Memorial High School, in Newark, California.",English,common_voice_en_38851729.mp3,10188,10.188,321.55199999999985
clips/common_voice_en_38522095.mp3,Dacko took part in an experimental educational program promoted by the French colonial administration.,English,common_voice_en_38522095.mp3,10188,10.188,331.73999999999984
clips/common_voice_en_38116923.mp3,Recently the institution starts undergraduate honours course under National University of Bangladesh.,English,common_voice_en_38116923.mp3,10188,10.188,341.9279999999998
clips/common_voice_en_38111407.mp3,A similar definition can be given using the vocabulary of measure-preserving dynamical systems.,English,common_voice_en_38111407.mp3,10188,10.188,352.1159999999998
clips/common_voice_en_38076109.mp3,The term has been adopted as a synonym of quartiere in the Italian comuni.,English,common_voice_en_38076109.mp3,10188,10.188,362.3039999999998
clips/common_voice_en_38747369.mp3,"In this capacity the ""protosyncellus"" exercises the bishop's executive power over the entire eparchy.",English,common_voice_en_38747369.mp3,10116,10.116,372.4199999999998
clips/common_voice_en_38522045.mp3,The Wilmington neighborhood Canby Park Estates is named in honor of the Canby family.,English,common_voice_en_38522045.mp3,10116,10.116,382.5359999999998
clips/common_voice_en_38251763.mp3,"Mantlo's first run on ""The Spectacular Spider-Man"" featured frequent appearances by the White Tiger.",English,common_voice_en_38251763.mp3,10116,10.116,392.65199999999976
clips/common_voice_en_38091854.mp3,"Julien's record in another quadrennial competition, the Pan American Games, has been particularly noteworthy.",English,common_voice_en_38091854.mp3,10116,10.116,402.76799999999974
clips/common_voice_en_39582296.mp3,Action and Zeemand both operating throughout Europe.,English,common_voice_en_39582296.mp3,10116,10.116,412.88399999999973
clips/common_voice_en_38625438.mp3,"Ashur's brothers were Elam, Arphaxad, Lud, and Aram.",English,common_voice_en_38625438.mp3,10116,10.116,422.9999999999997
clips/common_voice_en_38114376.mp3,The soil along the Saint Johns was considered especially successful for producing sweeter oranges.,English,common_voice_en_38114376.mp3,10116,10.116,433.1159999999997
clips/common_voice_en_38683531.mp3,"The term ""yakiniku"" became associated with Korean-derived cuisine during the early Showa period.",English,common_voice_en_38683531.mp3,10116,10.116,443.2319999999997
clips/common_voice_en_38522100.mp3,Kunduz is located in the historical Tokharistan in the region of Bactria.,English,common_voice_en_38522100.mp3,10080,10.08,453.31199999999967
clips/common_voice_en_38116514.mp3,"In Canada, health librarians and libraries are represented by the Canadian Health Libraries Association.",English,common_voice_en_38116514.mp3,10080,10.08,463.39199999999965
clips/common_voice_en_38517693.mp3,Early toothbrushes were crafted from sassafras twigs or wood because of its aromatic properties.,English,common_voice_en_38517693.mp3,10080,10.08,473.47199999999964
clips/common_voice_en_38068338.mp3,"Rococo gilt bronze tends to be finely cast, lightly chiseled, and part-burnished.",English,common_voice_en_38068338.mp3,10080,10.08,483.5519999999996
clips/common_voice_en_38099728.mp3,"Today, steel-pan is the national instrument of Trinidad and Tobago and is used worldwide.",English,common_voice_en_38099728.mp3,10080,10.08,493.6319999999996
clips/common_voice_en_38671160.mp3,"Grammas's family origins are from Agios Dimitrios near Sparta, Greece.",English,common_voice_en_38671160.mp3,10044,10.044,503.6759999999996
clips/common_voice_en_38218307.mp3,Major Robert Lenehan enlisted him in the Bushveldt Carbineers with a commission as Lieutenant.,English,common_voice_en_38218307.mp3,10044,10.044,513.7199999999996
clips/common_voice_en_38089479.mp3,Terrain-induced precipitation is a major factor for meteorologists as they forecast the local weather.,English,common_voice_en_38089479.mp3,10008,10.008,523.7279999999996
clips/common_voice_en_38491619.mp3,"Restrooms, fish-cleaning stations, and a certified fish weighing station are at the pier.",English,common_voice_en_38491619.mp3,10008,10.008,533.7359999999996
clips/common_voice_en_38129662.mp3,"During his final term he married Marjorie Margolies-Mezvinsky, a television journalist.",English,common_voice_en_38129662.mp3,10008,10.008,543.7439999999997
clips/common_voice_en_38492588.mp3,Giblin was raised in Newark and attended Seton Hall Preparatory School.,English,common_voice_en_38492588.mp3,10008,10.008,553.7519999999997
clips/common_voice_en_38096117.mp3,They subsequently formed an oppositional group which aligned itself with the International Left Opposition.,English,common_voice_en_38096117.mp3,10008,10.008,563.7599999999998
clips/common_voice_en_39571743.mp3,"However, shortly afterwards Grantham contacted Smith and asked to speak to her urgently.",English,common_voice_en_39571743.mp3,9972,9.972,573.7319999999997
clips/common_voice_en_38233305.mp3,"Whale launched three torpedoes and sank the larger of the freighters, ""Denmark Maru"".",English,common_voice_en_38233305.mp3,9972,9.972,583.7039999999997
clips/common_voice_en_38068255.mp3,And Then You'll Beg was viewed as being less extreme than Cryptopsy's previous albums.,English,common_voice_en_38068255.mp3,9936,9.936,593.6399999999998
clips/common_voice_en_38273757.mp3,Both robe and shawl are elaborately carved with patterns in imitation of embroidery.,English,common_voice_en_38273757.mp3,9936,9.936,603.5759999999998
clips/common_voice_en_38350787.mp3,Also Ox Island is separated from the mainland only by a very narrow waterway.,English,common_voice_en_38350787.mp3,9936,9.936,613.5119999999998
clips/common_voice_en_38282302.mp3,The second of these passages occurs in a sermon of doubtful authenticity.,English,common_voice_en_38282302.mp3,9936,9.936,623.4479999999999
clips/common_voice_en_38128258.mp3,Carr became known for her preaching and she would tour England evangelizing for Methodism.,English,common_voice_en_38128258.mp3,9936,9.936,633.3839999999999
clips/common_voice_en_38237612.mp3,Lloyd agreed a deal to leave Leicester Tigers for Guinness Premiership team Gloucester Rugby.,English,common_voice_en_38237612.mp3,9936,9.936,643.3199999999999
clips/common_voice_en_38035609.mp3,See also identity of first male Muslim.,English,common_voice_en_38035609.mp3,9936,9.936,653.256
clips/common_voice_en_38083432.mp3,"Charlie then goes on a rampage, hideously transforming or vanishing crew members at will.",English,common_voice_en_38083432.mp3,9900,9.9,663.156
clips/common_voice_en_38492640.mp3,Lehmann was the uncle of the British journalist and politician Rudolf Chambers Lehmann.,English,common_voice_en_38492640.mp3,9900,9.9,673.0559999999999
clips/common_voice_en_38676162.mp3,"He was also accused of pocketing ""substantial sums"" through his interests in two firms.",English,common_voice_en_38676162.mp3,9900,9.9,682.9559999999999
clips/common_voice_en_38354475.mp3,"Bids arrived from companies in New York, Baltimore, Philadelphia, Newark, New Orleans and Richmond.",English,common_voice_en_38354475.mp3,9900,9.9,692.8559999999999
clips/common_voice_en_38678266.mp3,The organization develops and distributes pharmaceutical products and operates in domestic and international markets.,English,common_voice_en_38678266.mp3,9900,9.9,702.7559999999999
clips/common_voice_en_38068674.mp3,"The game's difficulty advances smoothly, and the play is extremely well balanced.",English,common_voice_en_38068674.mp3,9864,9.864,712.6199999999999
clips/common_voice_en_38732405.mp3,"After some revisions, they agreed to the stipulations of the Code.",English,common_voice_en_38732405.mp3,9828,9.828,722.4479999999999
clips/common_voice_en_39578956.mp3,"Today, the bar is still family-owned and managed by Jack Dorrian's son, Jimmy.",English,common_voice_en_39578956.mp3,9828,9.828,732.2759999999998
clips/common_voice_en_38083330.mp3,"The participating countries were Chile, Ecuador, Paraguay, Peru, and Uruguay.",English,common_voice_en_38083330.mp3,9828,9.828,742.1039999999998
clips/common_voice_en_38781132.mp3,The ruling was based around seven issues.,English,common_voice_en_38781132.mp3,9828,9.828,751.9319999999998
clips/common_voice_en_38694527.mp3,"The museum operates with three programming departments: curatorial, performance, and education.",English,common_voice_en_38694527.mp3,9828,9.828,761.7599999999998
clips/common_voice_en_38366770.mp3,"The hemi-cube and hemi-octahedron generalize as hemi-""n""-cubes and hemi-""n""-orthoplexes in any dimensions.",English,common_voice_en_38366770.mp3,9828,9.828,771.5879999999997
clips/common_voice_en_39143045.mp3,"The greatest number of sayings are attributed to Abba ""Poemen,"" Greek for ""shepherd.",English,common_voice_en_39143045.mp3,9828,9.828,781.4159999999997
clips/common_voice_en_38099396.mp3,"Most of the foundation's work, however, involved sponsoring essays by researchers on gravity-related topics.",English,common_voice_en_38099396.mp3,9828,9.828,791.2439999999997
clips/common_voice_en_38498660.mp3,Wegner played in four tests matches and eight tour matches for the Springboks.,English,common_voice_en_38498660.mp3,9828,9.828,801.0719999999997
clips/common_voice_en_38114774.mp3,I employed a pretty large staff of freelancers: scriptwriters and artists.,English,common_voice_en_38114774.mp3,9792,9.792,810.8639999999997
clips/common_voice_en_38153216.mp3,"Strong has signature programs in cardiac care, cancer care, neurology, orthopedics and pediatrics.",English,common_voice_en_38153216.mp3,9792,9.792,820.6559999999997
clips/common_voice_en_38162304.mp3,"Social rules and relations are created, communicated, and changed in verbal and nonverbal ways.",English,common_voice_en_38162304.mp3,9756,9.756,830.4119999999997
clips/common_voice_en_38916682.mp3,Others have demonstrated directional modulation with switched arrays and phase-conjugating lenses.,English,common_voice_en_38916682.mp3,9756,9.756,840.1679999999997
clips/common_voice_en_39512651.mp3,"Wilford Woodruff stated that ""Doctor John Cook Bennett was the ruin of Orson Pratt"".",English,common_voice_en_39512651.mp3,9756,9.756,849.9239999999996
clips/common_voice_en_38732480.mp3,The Array starts to undergo a series of catastrophic failures.,English,common_voice_en_38732480.mp3,9756,9.756,859.6799999999996
clips/common_voice_en_38689400.mp3,"An aqueduct, New Semington Aqueduct, carries the Kennet and Avon Canal over this section.",English,common_voice_en_38689400.mp3,9720,9.72,869.3999999999996
clips/common_voice_en_38575828.mp3,"It includes the towns of Camperdown, Terang, Cobden, Timboon, Port Campbell and Skipton.",English,common_voice_en_38575828.mp3,9720,9.72,879.1199999999997
clips/common_voice_en_38083404.mp3,The liberal-leaning editorial page has brought Donald Kaul back for Sunday opinion columns.,English,common_voice_en_38083404.mp3,9720,9.72,888.8399999999997
clips/common_voice_en_38073832.mp3,She later became head of Harbin Songjiang Obstetrics School and Songjiang Hospital.,English,common_voice_en_38073832.mp3,9720,9.72,898.5599999999997
clips/common_voice_en_38040025.mp3,A malicious spammer could use this tactic to send large numbers of messages anonymously.,English,common_voice_en_38040025.mp3,9720,9.72,908.2799999999997
clips/common_voice_en_38708414.mp3,"A pre-Roman road, the Icknield Way, crosses the River Thames at Cholsey.",English,common_voice_en_38708414.mp3,9720,9.72,917.9999999999998
clips/common_voice_en_38693751.mp3,"With his southern charm and eccentricities, Schoolboy Rowe became a fan favorite in Detroit.",English,common_voice_en_38693751.mp3,9720,9.72,927.7199999999998
clips/common_voice_en_38079099.mp3,Vaibhav Singh Yadav aka Ahir Boxer is the first Indian unified titles champion holder.,English,common_voice_en_38079099.mp3,9720,9.72,937.4399999999998
clips/common_voice_en_38111511.mp3,Its use as a technical term in anatomy and ophthalmology is relatively modern.,English,common_voice_en_38111511.mp3,9720,9.72,947.1599999999999
clips/common_voice_en_38357969.mp3,The South Kentucky Association of Separate Baptists choose not to stay in any union.,English,common_voice_en_38357969.mp3,9720,9.72,956.8799999999999
clips/common_voice_en_38068712.mp3,Extensive Allied reconnaissance provided the attackers with detailed maps of the defenses and terrain.,English,common_voice_en_38068712.mp3,9720,9.72,966.5999999999999
clips/common_voice_en_38529095.mp3,"Typically, sinus barotrauma is preceded by an upper respiratory tract infection or allergy.",English,common_voice_en_38529095.mp3,9720,9.72,976.3199999999999
clips/common_voice_en_38687078.mp3,"If ""X"" and ""Y"" are homotopy-equivalent and ""X"" is simply-connected, then so is ""Y"".",English,common_voice_en_38687078.mp3,9720,9.72,986.04
clips/common_voice_en_38724601.mp3,"The Restatement Standard opens up their liability to named ""classes"" of individuals.",English,common_voice_en_38724601.mp3,9720,9.72,995.76
clips/common_voice_en_38265131.mp3,He incurred a good deal of odium by joining the Catholic Church.,English,common_voice_en_38265131.mp3,9720,9.72,1005.48
clips/common_voice_en_38328801.mp3,"In addition, it featured ""new"" neighbours played by Terry Scott and June Whitfield.",English,common_voice_en_38328801.mp3,9720,9.72,1015.2
clips/common_voice_en_38084794.mp3,The filmer then records the movie using the camcorder as unobtrusively as possible.,English,common_voice_en_38084794.mp3,9720,9.72,1024.92
clips/common_voice_en_38547379.mp3,"During the North Berwick witch trials, Guilles Duncan named Barbara Naper as his killer.",English,common_voice_en_38547379.mp3,9684,9.684,1034.604
clips/common_voice_en_38570368.mp3,Kimberlite classification is based on the recognition of differing rock facies.,English,common_voice_en_38570368.mp3,9684,9.684,1044.288
clips/common_voice_en_38318820.mp3,"The name originates from the Oinountas, a small river that traverses the municipality.",English,common_voice_en_38318820.mp3,9648,9.648,1053.936
